Org,Year,Month,Day,H,HA,HB,HC,HE,HU
2005.1,2005,1,1,99041,5320,81693,4285,1257,6486
2005.2,2005,2,1,76630,4033,62794,2890,1283,5630
2005.3,2005,3,1,124435,7036,101475,5285,2048,8591
2005.4,2005,4,1,120845,6637,98758,5149,1984,8317
2005.5,2005,5,1,113902,6258,94318,4744,1339,7243
2005.6,2005,6,1,113669,6358,94136,4943,1187,7045
2005.7,2005,7,1,117417,6417,98588,4698,1065,6649
2005.8,2005,8,1,126187,7035,105752,5249,1081,7070
2005.9,2005,9,1,115918,6840,96004,5285,957,6832
2005.1,2005,10,1,113084,6709,94489,4946,887,6053
2005.11,2005,11,1,127067,6959,106598,5893,1097,6520
2005.12,2005,12,1,118237,6500,98200,5792,1212,6533
2005,,,,1366432,76102,1132805,59159,15397,82969
2006.1,2006,1,1,100138,4241,84489,4816,1292,5300
2006.2,2006,2,1,110462,4643,92876,5039,1685,6219
2006.3,2006,3,1,140816,6336,116831,7073,2677,7899
2006.4,2006,4,1,131418,5738,109330,6582,2227,7541
2006.5,2006,5,1,125450,5852,104575,6312,1757,6954
2006.6,2006,6,1,129636,6087,108312,6809,1517,6911
2006.7,2006,7,1,131782,5859,111905,6234,1219,6565
2006.8,2006,8,1,137450,6652,115960,6800,1264,6774
2006.9,2006,9,1,123896,6161,103665,6740,1087,6243
2006.1,2006,10,1,121873,6166,102399,6036,1039,6233
2006.11,2006,11,1,128705,6237,108022,7122,1218,6106
2006.12,2006,12,1,125675,6917,103371,7752,1473,6162
2006,,,,1507301,70889,1261735,77315,18455,78907
2007.1,2007,1,1,128557,5572,106956,7943,1851,6235
2007.2,2007,2,1,99984,4133,83225,5517,1730,5379
2007.3,2007,3,1,147448,6335,122566,8887,2538,7122
2007.4,2007,4,1,139227,6257,114959,8598,2300,7113
2007.5,2007,5,1,131024,6333,108239,7915,1891,6646
2007.6,2007,6,1,133016,6536,110126,8374,1610,6370
2007.7,2007,7,1,144100,7493,119639,8835,1631,6502
2007.8,2007,8,1,150821,8378,124674,9322,1598,6849
2007.9,2007,9,1,129995,7848,106206,8572,1393,5976
2007.1,2007,10,1,128680,7280,106364,7958,1221,5857
2007.11,2007,11,1,137928,6983,114606,9209,1301,5829
2007.12,2007,12,1,132280,6201,109665,9128,1449,5837
2007,,,,1603060,79349,1327225,100258,20513,75715
2008.1,2008,1,1,129086,4809,108255,9102,1720,5200
2008.2,2008,2,1,107688,3592,90471,7309,1695,4621
2008.3,2008,3,1,148270,5425,123200,10825,2593,6227
2008.4,2008,4,1,143377,5738,118789,10318,2481,6051
2008.5,2008,5,1,136575,5732,113200,10286,1863,5494
2008.6,2008,6,1,129044,5501,107306,9562,1558,5117
2008.7,2008,7,1,146148,5446,123352,10377,1442,5531
2008.8,2008,8,1,137349,5185,115787,9692,1341,5344
2008.9,2008,9,1,127099,4833,106026,9626,1209,5405
2008.1,2008,10,1,129298,4376,108840,9811,1130,5141
2008.11,2008,11,1,125130,3908,105265,10064,1177,4716
2008.12,2008,12,1,132114,4275,110163,11229,1470,4977
2008,,,,1591178,58820,1330654,118201,19679,63824
2009.1,2009,1,1,107121,2869,90569,8364,1469,3850
2009.2,2009,2,1,143843,3797,120974,11771,2377,4924
2009.3,2009,3,1,150993,4368,125427,12864,2986,5348
2009.4,2009,4,1,145520,4316,120701,12972,2274,5257
2009.5,2009,5,1,133095,4336,110617,11628,1808,4706
2010,2009,6,1,139425,4399,116439,12191,1649,4747
2010,2009,7,1,146375,4320,123255,12378,1421,5001
2010,2009,8,1,143101,4242,119965,12484,1498,4912
2009.9,2009,9,1,128882,3884,107161,12022,1238,4577
2009.1,2009,10,1,120184,3187,100504,11034,1191,4268
2009.11,2009,11,1,112703,2794,93627,11183,1271,3828
2009.12,2009,12,1,122501,2860,101113,12718,1672,4138
2009,,,,1593743,45372,1330352,141609,20854,55556
2010.1,2010,1,1,123673,2379,102470,13153,1948,3723
2010.2,2010,2,1,97481,1991,80143,9594,2109,3644
2010.3,2010,3,1,143734,2881,117048,15716,3168,4921
2010.4,2010,4,1,129957,2984,104691,14817,2838,4627
2010.5,2010,5,1,124785,2996,100653,14135,2323,4678
2010.6,2010,6,1,121504,2993,98691,13510,1953,4357
2010.7,2010,7,1,128849,3312,105007,14448,1743,4339
2010.8,2010,8,1,126599,3789,103030,13832,1546,4402
2010.9,2010,9,1,116159,3647,93643,13140,1466,4263
2010.1,2010,10,1,110333,3277,89066,12378,1455,4157
2010.11,2010,11,1,124632,3186,101234,14221,1702,4289
2010.12,2010,12,1,120575,2815,97590,14230,2009,3931
2010,,,,1468281,36250,1193266,163174,24260,51331
2011.1,2011,1,1,123853,2359,100932,14516,2258,3788
2011.2,2011,2,1,105446,2013,85649,11808,2437,3539
2011.3,2011,3,1,147671,2988,117553,17858,4262,5010
2011.4,2011,4,1,133616,2735,106464,15969,3731,4717
2011.5,2011,5,1,132429,2710,106263,16151,2837,4468
2011.6,2011,6,1,128310,2717,103219,15829,2347,4198
