Org,Year,Month,Day,H,HA,HB,HC,HE,HU
2005.1,2005,1,1,82,3,60,9,1,9
2005.2,2005,2,1,78,1,57,9,2,9
2005.3,2005,3,1,131,4,98,7,10,12
2005.4,2005,4,1,105,4,76,11,4,10
2005.5,2005,5,1,87,5,67,9,4,2
2005.6,2005,6,1,94,4,67,11,4,8
2005.7,2005,7,1,78,4,51,9,4,10
2005.8,2005,8,1,96,1,73,11,3,8
2005.9,2005,9,1,75,2,59,0,5,9
2005.1,2005,10,1,83,4,66,8,3,2
2005.11,2005,11,1,115,2,93,7,1,12
2005.12,2005,12,1,110,2,82,11,3,12
2005,,,,1134,36,849,102,44,103
2006.1,2006,1,1,84,4,68,3,2,7
2006.2,2006,2,1,79,4,58,6,3,8
2006.3,2006,3,1,109,3,76,14,8,8
2006.4,2006,4,1,112,4,75,16,7,10
2006.5,2006,5,1,114,2,82,16,3,11
2006.6,2006,6,1,98,2,73,15,3,5
2006.7,2006,7,1,95,2,71,12,3,7
2006.8,2006,8,1,97,5,68,15,3,6
2006.9,2006,9,1,83,1,62,12,1,7
2006.1,2006,10,1,71,1,60,6,1,3
2006.11,2006,11,1,112,4,78,21,2,7
2006.12,2006,12,1,99,1,70,15,4,9
2006,,,,1153,33,841,151,40,88
2007.1,2007,1,1,93,1,70,10,4,8
2007.2,2007,2,1,74,0,54,7,3,10
2007.3,2007,3,1,96,1,74,10,3,8
2007.4,2007,4,1,92,2,76,10,3,1
2007.5,2007,5,1,79,1,58,12,5,3
2007.6,2007,6,1,81,2,60,7,3,9
2007.7,2007,7,1,83,4,64,8,3,4
2007.8,2007,8,1,94,1,80,10,3,0
2007.9,2007,9,1,91,5,67,9,4,6
2007.1,2007,10,1,128,2,102,12,4,8
2007.11,2007,11,1,86,2,66,10,1,7
2007.12,2007,12,1,101,2,67,18,3,11
2007,,,,1098,23,838,123,39,75
2008.1,2008,1,1,76,0,60,12,2,2
2008.2,2008,2,1,100,1,84,7,2,6
2008.3,2008,3,1,101,2,83,12,2,2
2008.4,2008,4,1,93,1,75,10,3,4
2008.5,2008,5,1,93,1,75,10,3,4
2008.6,2008,6,1,76,1,57,7,4,7
2008.7,2008,7,1,93,1,73,11,1,7
2008.8,2008,8,1,98,0,73,17,2,6
2008.9,2008,9,1,86,2,69,3,3,9
2008.1,2008,10,1,123,2,101,14,3,3
2008.11,2008,11,1,99,0,86,6,3,4
2008.12,2008,12,1,126,2,94,22,3,5
2008,,,,1164,13,930,131,31,59
2009.1,2009,1,1,62,0,42,18,1,1
2009.2,2009,2,1,99,2,74,16,1,6
2009.3,2009,3,1,85,3,70,9,1,2
2009.4,2009,4,1,98,2,75,12,5,4
2009.5,2009,5,1,88,3,70,10,3,2
2010,2009,6,1,74,1,55,14,1,3
2010,2009,7,1,99,3,86,3,2,5
2010,2009,8,1,96,1,76,12,2,5
2009.9,2009,9,1,94,2,68,20,0,4
2009.1,2009,10,1,87,1,63,16,3,4
2009.11,2009,11,1,65,1,53,9,1,1
2009.12,2009,12,1,125,3,98,16,4,4
2009,,,,1072,22,830,155,24,41
2010.1,2010,1,1,78,1,57,15,1,4
2010.2,2010,2,1,72,0,61,4,6,1
2010.3,2010,3,1,91,0,71,12,6,2
2010.4,2010,4,1,79,0,59,13,4,3
2010.5,2010,5,1,61,2,44,7,5,3
2010.6,2010,6,1,80,0,57,15,3,5
2010.7,2010,7,1,73,2,56,9,1,5
2010.8,2010,8,1,75,0,57,16,0,2
2010.9,2010,9,1,91,0,72,15,1,3
2010.1,2010,10,1,77,0,65,8,3,1
2010.11,2010,11,1,83,0,64,15,1,3
2010.12,2010,12,1,77,1,60,13,3,0
2010,,,,937,6,723,142,34,32
2011.1,2011,1,1,88,2,67,14,5,0
2011.2,2011,2,1,73,1,54,13,4,1
2011.3,2011,3,1,82,2,65,8,5,2
2011.4,2011,4,1,74,1,58,9,6,0
2011.5,2011,5,1,83,2,68,8,4,1
2011.6,2011,6,1,59,1,51,6,1,0
2011.7,2011,7,1,76,0,50,18,5,3
2011.8,2011,8,1,71,1,55,9,3,3
2011.9,2011,9,1,65,0,53,10,1,1
2011.1,2011,10,1,67,2,47,13,3,2
2011.11,2011,11,1,79,1,61,11,2,4
2011.12,2011,12,1,79,1,57,18,2,1
2011,,,,896,14,686,137,41,18
2012.1,2012,1,1,72,0,58,9,2,3
2012.2,2012,2,1,60,0,46,8,2,4
2012.3,2012,3,1,67,1,54,6,3,3
2012.4,2012,4,1,68,2,54,5,5,2
2012.5,2012,5,1,71,0,56,12,2,1
2012.6,2012,6,1,60,0,50,8,0,2
2012.7,2012,7,1,68,1,48,15,3,1
2012.8,2012,8,1,62,1,48,11,2,0
2012.9,2012,9,1,82,2,65,12,0,0
2012.1,2012,10,1,66,0,55,10,1,0
2012.11,2012,11,1,59,1,47,9,1,1
2012.12,2012,12,1,71,1,57,5,2,6
2012,,,,806,9,638,110,23,23
2013.1,2013,1,1,96,0,68,22,4,2
2013.2,2013,2,1,62,0,47,12,2,1
2013.3,2013,3,1,56,0,41,10,2,3
2013.4,2013,4,1,58,0,41,15,1,1
2013.5,2013,5,1,77,0,55,17,1,4
2013.6,2013,6,1,58,1,51,16,0,0
2013.7,2013,7,1,64,2,50,8,3,1
2013.8,2013,8,1,74,1,59,12,1,1
2013.9,2013,9,1,50,0,38,8,3,1
2013.1,2013,10,1,55,0,39,16,0,0
2013.11,2013,11,1,59,0,40,13,2,4
2013.12,2013,12,1,80,0,64,14,1,1
2013,,,,789,4,593,163,20,19
2014.1,2014,1,1,67,0,48,16,2,1
2014.2,2014,2,1,51,0,32,16,2,1
2014.3,2014,3,1,54,0,38,9,3,4
2014.4,2014,4,1,58,2,41,11,3,1
2014.5,2014,5,1,32,1,22,8,1,0
2014.6,2014,6,1,44,1,36,6,0,1
2014.7,2014,7,1,48,0,32,13,1,2
2014.8,2014,8,1,53,2,34,15,0,2
2014.9,2014,9,1,28,1,19,7,0,1
2014.1,2014,10,1,42,0,29,12,1,0
2014.11,2014,11,1,50,0,36,13,1,0
2014.12,2014,12,1,41,1,31,8,1,0
2014,,,,568,8,398,134,15,13
2015.1,2015,1,1,61,1,43,13,2,2
2015.2,2015,2,1,25,0,17,5,2,1
2015.3,2015,3,1,30,0,20,9,1,0
2015.4,2015,4,1,30,0,25,5,0,0
2015.5,2015,5,1,29,1,22,4,2,0
2015.6,2015,6,1,44,2,26,15,1,0
2015.7,2015,7,1,28,1,23,2,1,1
2015.8,2015,8,1,52,0,43,8,0,1
2015.9,2015,9,1,36,2,23,10,1,0
2015.1,2015,10,1,51,0,41,9,0,1
2015.11,2015,11,1,39,1,30,8,0,0
2015.12,2015,12,1,56,4,40,10,2,0
2015,,,,481,12,353,98,12,6
2016.1,2016,1,1,56,2,40,13,1,0
2016.2,2016,2,1,44,0,29,13,2,0
2016.3,2016,3,1,59,1,41,12,5,0
2016.4,2016,4,1,42,0,30,12,0,0
2016.5,2016,5,1,39,1,29,7,2,0
2016.6,2016,6,1,37,1,30,5,0,1
2016.7,2016,7,1,49,0,38,10,1,0
2016.8,2016,8,1,61,0,44,13,3,1
2016.9,2016,9,1,50,0,41,6,2,1
2016.1,2016,10,1,47,0,38,7,1,1
2016.11,2016,11,1,37,1,28,7,1,0
2016.12,2016,12,1,49,0,42,6,0,1
2016,,,,570,6,430,111,18,5
2017.1,2017,1,1,35,0,23,10,2,0
2017.2,2017,2,1,46,0,37,8,1,0
2017.3,2017,3,1,59,0,35,21,3,0
2017.4,2017,4,1,31,1,19,8,2,1
2017.5,2017,5,1,49,0,38,10,1,0
2017.6,2017,6,1,49,0,41,6,2,0
2017.7,2017,7,1,56,0,42,12,2,0
2017.8,2017,8,1,56,0,46,9,1,0
2017.9,2017,9,1,58,0,45,12,1,0
2017.1,2017,10,1,60,0,41,16,3,0
2017.11,2017,11,1,60,1,45,10,3,1
2017.12,2017,12,1,59,2,43,7,6,1
2017,,,,618,4,455,129,27,3
2018.1,2018,1,1,54,0,36,17,1,0
2018.2,2018,2,1,60,1,47,11,1,0
2018.3,2018,3,1,42,0,34,6,2,0
2018.4,2018,4,1,47,1,34,12,0,0
2018.5,2018,5,1,45,0,37,7,1,0
2018.6,2018,6,1,59,1,46,6,4,2
2018.7,2018,7,1,52,0,37,14,1,0
2018.8,2018,8,1,45,0,35,9,1,0
2018.9,2018,9,1,49,0,38,10,1,0
2018.1,2018,10,1,45,0,37,6,2,0
2018.11,2018,11,1,60,1,49,9,1,0
2018.12,2018,12,1,48,0,40,8,0,0
2018,,,,606,4,470,115,15,2
2019.1,2019,1,1,68,0,55,11,2,0
2019.2,2019,2,1,40,0,31,8,1,0
2019.3,2019,3,1,53,1,38,11,2,1
2019.4,2019,4,1,57,0,45,11,1,0
